,brewery_id,latitude,longitude,name,address1,city,state,code,country,phone,website
0,1,30.2234,-97.7697,(512) Brewing Company,"407 Radam, F200",Austin,Texas,78745,United States,512.707.2337,http://512brewing.com/
1,2,37.7825,-122.39299999999999,21st Amendment Brewery Cafe,563 Second Street,San Francisco,California,94107,United States,1-415-369-0900,http://www.21st-amendment.com/
2,3,50.7668,4.3081,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,Hoogstraat 2A,Beersel,Vlaams Brabant,,Belgium,32-02-/-306-71-03,http://www.3fonteinen.be/index.htm
3,4,59.7451,10.2135,Aass Brewery,Ole Steensgt. 10 Postboks 1530,Drammen,,,Norway,47-32-26-60-00,http://www.aass.no
4,5,50.2606,4.9122,Abbaye de Leffe,Dinant,Dinant,Namur,,Belgium,,
5,6,50.3093,4.7646,Abbaye de Maredsous,"Rue de Maredsous, 11",Dene,Namur,,Belgium,32-(0)82-69-82-11,http://www.maredsous10.be/
6,7,50.1999,5.2277,Abbaye Notre Dame du St Remy,Rue de l'Abbaye 8,Rochefort,Namur,,Belgium,32-084/22.01.47,
7,8,41.2225,-77.0369,Abbey Wright Brewing/Valley Inn,204 Valley Street,Williamsport,Pennsylvania,17702,United States,570.326.3383,http://www.valleyinnonline.com/
8,9,41.4392,-87.1078,Aberdeen Brewing,210 Aberdeen Dr.,Valparaiso,Indiana,,United States,(219) 548-3300,
9,10,30.5049,-89.944,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana,70420,United States,800-737-2311,http://www.abita.com/
10,11,52.3277,1.6802,Adnams & Co.,IP18 6JW,Southwold,Suffolk,,United Kingdom,44-(01502)-727200,http://www.adnams.co.uk
11,12,50.9699,4.1892,Affligem Brouwerij,,Opwijk,,,Belgium,052/35 83 57,http://www.affligembeer.be/
12,13,49.7652,-97.1539,Agassiz Brewing,PO Box 42008,Winnipeg,Manitoba,0,Canada,1-204-233-4677,
13,14,41.2603,-96.0903,Aksarben Brewing (BOP),11337 Davenport St.,Omaha,Nebraska,68130,United States,,
14,15,47.8781,10.6161,Aktienbrauerei Kaufbeuren,Hohe Buchleuthe 3,Kaufbeuren,Bayern,,Germany,49-(0)8341-/-430430,http://www.aktien-brauerei.de/
15,16,45.5484,-122.619,Alameda Brewhouse,4765 NE Fremont,Portland,Oregon,97213,United States,1-503-460-9025,
16,17,58.3573,-134.49,Alaskan Brewing,5429 Shaune Drive,Juneau,Alaska,99801,United States,1-907-780-5866,http://www.alaskanbeer.com/
17,20,43.1257,-89.3253,Alaus Darykla Kalnapilis,Taikos aleja 1,Panevys,,,Lithuania,370-45-505223,
18,21,32.891999999999996,-117.14399999999999,Aldaris,Tvaika iela 44,Rga,,,Latvia,371-70-23-200,
19,22,21.3069,-157.858,Ale Asylum,3698 Kinsman Blvd,Madison,Wisconsin,53704,United States,6086633926,http://www.aleasylum.com/
20,23,43.7028,-70.3166,AleSmith Brewing,9368 Cabot Drive,San Diego,California,92126,United States,1-858-549-9888,http://alesmith.com/
21,24,43.7028,-70.3166,Ali`i Brewing,,Honolulu,Hawaii,,United States,,
22,25,40.6016,-75.47399999999999,Allagash Brewing,100 Industrial Way,Portland,Maine,4103,United States,1-800-330-5385,http://www.allagash.com/
23,26,47.7237,10.3141,Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania,18101,United States,610.433.7777,http://www.thebrewworks.com/allentown-brewworks/
24,28,38.0501,-84.5088,Allguer Brauhaus AG Kempten,Beethovenstrae 7,Kempten,Bayern,,Germany,49-(0)831-/-2050-0,
25,29,32.8355,-116.765,"Allguer Brauhaus AG Kempten, Brausttte Leuterschach",Schwendener Strae 18,Marktoberdorf,Bayern,,Germany,49-(0)8342-/-9647-0,
26,30,48.3457,8.4031,Alltech's Lexington Brewing Company,401 Cross Street,Lexington,Kentucky,40508,United States,1-859-887-3406,http://www.kentuckyale.com/kentuckyale/Index.html
27,31,50.919,3.2632,Alpine Beer Company,2351 Alpine Boulevard,Alpine,California,91901,United States,1-619-445-2337,http://www.alpinebeerco.com/
28,32,41.7605,-88.309,Alpirsbacher Klosterbru,Marktplatz 1,Alpirsbach,Baden-Wrttemberg,,Germany,49-(0)7444-/-67-0,
29,33,38.8966,-121.07700000000001,Alvinne Picobrouwerij,Oostrozebekestraat 114,Ingelmunster,West-Vlaanderen,,Belgium,32-051-/-30-55-17,
30,34,39.1551,-94.48200000000001,America's Brewing,205 North Broadway,Aurora,Illinois,60505,United States,1-630-264-2739,
31,35,42.3763,-72.5199,American River Brewing,,Auburn,California,,United States,,
32,36,38.535,-105.992,Amerisports Brew Pub,8201 NE Birmingham Road,Kansas City,Missouri,64161,United States,1-816-414-7000,
33,37,52.3738,4.8909,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts,1002,United States,413-253-4400,http://www.amherstbrewing.com/
