Brewery ID,Brewer Name,City,State,Zip,Lat,Long
1,"Plzensky Prazdroj, a. s.",,,,,
2,Yellow Rose Brewing Company,,,,,
3,Abita Brewing Co.,,,,,
5,Yakima Brewing Co. / Bert Grant's Ales,,,,,
8,Widmer Brothers Brewing Company,,,,,
10,Whim Ales,,,,,
13,Commonwealth Fish & Beer Company,,,,,
14,Cambridge Brewing Company,,,,,
21,Union Export Brewery,,,,,
22,Unibroue,,,,,
25,Tollemache & Cobbold Brewery Ltd,,,,,
30,Avery Brewing Company,,,,,
31,Brauerei Pinkus Mueller,,,,,
32,Brauerei Beck & Co.,,,,,
33,Berkshire Brewing Company Inc.,,,,,
35,Boston Beer Company (Samuel Adams),,,,,
36,Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA),,,,,
37,Brasserie d'Orval S.A.,,,,,
39,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,,,,,
42,Brewery Ommegang,,,,,
48,Brouwerij Van Steenberge N.V.,,,,,
52,Buzzards Bay Brewing,,,,,
53,Tennent Caledonian Breweries,,,,,
56,Celis Brewery Inc.,,,,,
57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",,,,,
60,Cooperstown Brewing Company,,,,,
61,Cottrell Brewing Co.,,,,,
62,D.L. Geary Brewing Company,,,,,
66,Einbecker Brauhaus AG,,,,,
67,Eumundi Brewing Group LTD.,,,,,
68,Flying Dog Brewery,,,,,
72,Weisses Bräuhaus G. Schneider & Sohn GmbH,,,,,
73,Great Lakes Brewing Company,,,,,
74,Gritty McDuff's Brewing Company,,,,,
75,Grupo Modelo S.A. de C.V.,,,,,
76,Hacker-Pschorr Bräu GmbH,,,,,
80,Strathaven Ales,,,,,
81,Heineken Nederland B.V.,,,,,
83,Brouwerij van Hoegaarden,,,,,
85,Pioneer Brewing Co.,,,,,
91,United Breweries - UB Group,,,,,
94,Long Trail Brewing Co.,,,,,
95,Löwenbräu AG,,,,,
97,Maritime Beer Company Inc.,,,,,
99,Matt Brewing Company,,,,,
100,McNeill's Brewery,,,,,
101,Melbourn Bros.,,,,,
103,"Middle Ages Brewing Co., Ltd.",,,,,
104,The Brewery Exchange,,,,,
106,JOS. Schlitz Brewing Co. (Pabst),,,,,
109,Moorhouse's Brewery (Burnley) Ltd,,,,,
113,Samuel Smith Old Brewery (Tadcaster),,,,,
115,"Old Nutfield Brewing Company, Ltd.",,,,,
122,Panther Brewing Company,,,,,
123,"Paper City Brewery Co., Inc.",,,,,
125,Pennsylvania Brewing Company,,,,,
