beer,abv,ibu,style,brewery
Widdershins Barleywine,9.1,10.0,Undefined-Ignore,Left Hand Brewing Company
JuJu Ginger,4.0,10.0,Undefined-Ignore,Left Hand Brewing Company
Snow Bound Winter Ale,8.6,10.0,Undefined-Ignore,Left Hand Brewing Company
Pole Star Pilsner,4.5,10.0,Undefined-Ignore,Left Hand Brewing Company
Left Hand Milk Stout,5.9,10.0,Sweet Stout,Left Hand Brewing Company
Black Jack Porter,4.5,10.0,Porter,Left Hand Brewing Company
Sawtooth Ale,4.5,10.0,American-Style Pale Ale,Left Hand Brewing Company
Warrior IPA,6.6,10.0,American-Style India Pale Ale,Left Hand Brewing Company
Goosinator Smoked Doppelbock 2007,4.5,10.0,American-Style Lager,Left Hand Brewing Company
Espresso Porter,8.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Festive Ale 2007,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Summer Common,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Dark German Lager,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Eccentric Belgian Wheat,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Festive Ale 2006,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Dark Side Vanilla Porter,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Luna Sea Amber,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Chaco Canyon Honey Gold,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Burning Skye Scottish Ale,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Solar Flare Summer Ale,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company
Festive Ale 2000,4.5,10.0,American-Style Pale Ale,Empyrean Brewing Company
Third Stone Brown,4.5,10.0,American-Style Brown Ale,Empyrean Brewing Company
Eccentric Ale,4.5,10.0,American-Style Brown Ale,Empyrean Brewing Company
Maple Nut Brown,4.5,10.0,American-Style Brown Ale,Empyrean Brewing Company
Fallen Angel Sweet Stout,4.5,10.0,American-Style Stout,Empyrean Brewing Company
Collapsar Oatmeal Stout,4.5,10.0,American-Style Stout,Empyrean Brewing Company
Black Jack Stout,4.5,10.0,American-Style Stout,Empyrean Brewing Company
Empyrean Oktoberfest,4.5,10.0,German-Style Oktoberfest,Empyrean Brewing Company
Oak-Aged Belgian Tripel,9.0,10.0,Undefined-Ignore,Upstream Brewing Company at Legacy
Oak Aged Ebenezer,9.4,10.0,Undefined-Ignore,Upstream Brewing Company at Legacy
Oak Aged IPA,6.0,10.0,Undefined-Ignore,Upstream Brewing Company at Legacy
Espresso Stout,4.5,10.0,Undefined-Ignore,Upstream Brewing Company at Legacy
Dundee Export 90 Scotch Ale,6.5,10.0,Undefined-Ignore,Upstream Brewing Company at Legacy
Double IPA,6.8,10.0,American-Style India Pale Ale,Upstream Brewing Company at Legacy
Blackstone Stout,5.9,10.0,American-Style Stout,Upstream Brewing Company at Legacy
Gueuze-Lambic,6.5,10.0,Belgian-Style Fruit Lambic,Upstream Brewing Company at Legacy
Old Foghorn 2001,14.5,10.0,Undefined-Ignore,Anchor Brewing
Christmas Ale 2007,4.5,10.0,Undefined-Ignore,Anchor Brewing
