brewery,address,city,state,latitude,longitude,website
(512) Brewing Company,"407 Radam, F200",Austin,Texas,30.2234,-97.7697,http://512brewing.com/
21st Amendment Brewery Cafe,563 Second Street,San Francisco,California,37.7825,-122.393,http://www.21st-amendment.com/
Abbey Wright Brewing/Valley Inn,204 Valley Street,Williamsport,Pennsylvania,41.2225,-77.0369,http://www.valleyinnonline.com/
Aberdeen Brewing,210 Aberdeen Dr.,Valparaiso,Indiana,41.4392,-87.1078,
Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana,30.5049,-89.944,http://www.abita.com/
Aksarben Brewing (BOP),11337 Davenport St.,Omaha,Nebraska,41.2603,-96.0903,
Alameda Brewhouse,4765 NE Fremont,Portland,Oregon,45.5484,-122.619,
Alaskan Brewing,5429 Shaune Drive,Juneau,Alaska,58.3573,-134.49,http://www.alaskanbeer.com/
Ale Asylum,3698 Kinsman Blvd,Madison,Wisconsin,43.1257,-89.3253,http://www.aleasylum.com/
AleSmith Brewing,9368 Cabot Drive,San Diego,California,32.892,-117.144,http://alesmith.com/
Ali`i Brewing,,Honolulu,Hawaii,21.3069,-157.858,
Allagash Brewing,100 Industrial Way,Portland,Maine,43.7028,-70.3166,http://www.allagash.com/
Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania,40.6016,-75.474,http://www.thebrewworks.com/allentown-brewworks/
Alltech's Lexington Brewing Company,401 Cross Street,Lexington,Kentucky,38.0501,-84.5088,http://www.kentuckyale.com/kentuckyale/Index.html
Alpine Beer Company,2351 Alpine Boulevard,Alpine,California,32.8355,-116.765,http://www.alpinebeerco.com/
America's Brewing,205 North Broadway,Aurora,Illinois,41.7605,-88.309,
American River Brewing,,Auburn,California,38.8966,-121.077,
Amerisports Brew Pub,8201 NE Birmingham Road,Kansas City,Missouri,39.1551,-94.482,
Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts,42.3763,-72.5199,http://www.amherstbrewing.com/
"Amicas Pizza, Microbrews and More",136 East Second Street,Salida,Colorado,38.535,-105.992,
Anacortes Brewing,320 Commercial Avenue,Anacortes,Washington,48.5193,-122.613,http://www.anacortesrockfish.com/
Anchor Brewing,1705 Mariposa Street,San Francisco,California,37.7635,-122.401,
Anderson Valley Brewing,17700 Boonville Rd,Boonville,California,39.0014,-123.356,http://avbc.com/
Andrew's Brewing,,Lincolnville,Maine,44.3516,-69.1401,
Angelic Brewing,,Madison,Wisconsin,43.0785,-89.382,
Anheuser-Busch,One Busch Place,Saint Louis,Missouri,38.5983,-90.209,http://www.anheuser-busch.com/
Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania,40.2659,-76.8753,http://www.abcbrew.com
Appleton Brewing,,Appleton,Wisconsin,44.2619,-88.4154,
Arcadia Brewing,103 West Michigan Avenue,Battle Creek,Michigan,42.322,-85.1851,http://www.arcadiaales.com/
Asheville Pizza and Brewing Co.,675 Merrimon Avenue,Asheville,North Carolina,35.6221,-82.5536,http://www.ashevillepizza.com/
Atlanta Brewing Company,2323 Defoor Hills Rd NW,Atlanta,Georgia,33.818,-84.4353,http://www.atlantabrewing.com/
Atlantic Brewing Company,15 Knox Rd.,Bar Harbor,Maine,44.3996,-68.334,http://www.atlanticbrewing.com
