beer,abv,ibu,style,brewery,city,state
Widdershins Barleywine,9.1,10.0,Undefined-Ignore,Left Hand Brewing Company,Longmont,Colorado
JuJu Ginger,4.0,10.0,Undefined-Ignore,Left Hand Brewing Company,Longmont,Colorado
Snow Bound Winter Ale,8.6,10.0,Undefined-Ignore,Left Hand Brewing Company,Longmont,Colorado
Pole Star Pilsner,4.5,10.0,Undefined-Ignore,Left Hand Brewing Company,Longmont,Colorado
Left Hand Milk Stout,5.9,10.0,Sweet Stout,Left Hand Brewing Company,Longmont,Colorado
Black Jack Porter,4.5,10.0,Porter,Left Hand Brewing Company,Longmont,Colorado
Sawtooth Ale,4.5,10.0,American-Style Pale Ale,Left Hand Brewing Company,Longmont,Colorado
Warrior IPA,6.6,10.0,American-Style India Pale Ale,Left Hand Brewing Company,Longmont,Colorado
Goosinator Smoked Doppelbock 2007,4.5,10.0,American-Style Lager,Left Hand Brewing Company,Longmont,Colorado
Espresso Porter,8.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Festive Ale 2007,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Summer Common,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Dark German Lager,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Eccentric Belgian Wheat,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Festive Ale 2006,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Dark Side Vanilla Porter,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Luna Sea Amber,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Chaco Canyon Honey Gold,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Burning Skye Scottish Ale,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Solar Flare Summer Ale,4.5,10.0,Undefined-Ignore,Empyrean Brewing Company,Lincoln,Nebraska
Festive Ale 2000,4.5,10.0,American-Style Pale Ale,Empyrean Brewing Company,Lincoln,Nebraska
Third Stone Brown,4.5,10.0,American-Style Brown Ale,Empyrean Brewing Company,Lincoln,Nebraska
Eccentric Ale,4.5,10.0,American-Style Brown Ale,Empyrean Brewing Company,Lincoln,Nebraska
Maple Nut Brown,4.5,10.0,American-Style Brown Ale,Empyrean Brewing Company,Lincoln,Nebraska
Fallen Angel Sweet Stout,4.5,10.0,American-Style Stout,Empyrean Brewing Company,Lincoln,Nebraska
Collapsar Oatmeal Stout,4.5,10.0,American-Style Stout,Empyrean Brewing Company,Lincoln,Nebraska
Black Jack Stout,4.5,10.0,American-Style Stout,Empyrean Brewing Company,Lincoln,Nebraska
Empyrean Oktoberfest,4.5,10.0,German-Style Oktoberfest,Empyrean Brewing Company,Lincoln,Nebraska
Oak-Aged Belgian Tripel,9.0,10.0,Undefined-Ignore,Upstream Brewing Company at Legacy,Omaha,Nebraska
Oak Aged Ebenezer,9.4,10.0,Undefined-Ignore,Upstream Brewing Company at Legacy,Omaha,Nebraska
